Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
149.975;49203;;180s;Yes;No;3;0.70558;0.84891;0.00000;0.13251;2.34303;ParsCat@228;Caduceus@229;YXAgent@230;0.7885481576208597;0.7055760777345808;0.8489056772467;0.7885481576208597;0.7055760777345808;0.8489056772467;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;68712;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;Caduceus@234;YXAgent@235;YXAgent@236;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;113340;;180s;No;No;2;0.00000;0.00000;1.14280;1.43014;0.00000;YXAgent@240;YXAgent@241;YXAgent@242;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
167.026;71224;;180s;Yes;No;3;0.63854;0.82391;0.00000;0.26270;2.27036;ParsCat@246;YXAgent@247;YXAgent@248;0.6385368385324051;0.807916129830899;0.8239084414836538;0.6385368385324051;0.807916129830899;0.8239084414836538;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
164.533;52301;;180s;Yes;No;3;0.70120;0.86429;0.00000;0.15866;2.28503;Caduceus@252;ParsCat@253;YXAgent@254;0.701201692505366;0.7195440105141017;0.8642892810483591;0.701201692505366;0.7195440105141017;0.8642892810483591;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
165.229;79224;;180s;Yes;No;3;0.69502;0.85701;0.00000;0.12265;2.37235;YXAgent@258;ParsCat@259;YXAgent@260;0.8203245225324266;0.6950202892578486;0.8570063113138096;0.8203245225324266;0.6950202892578486;0.8570063113138096;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
143.621;54739;;180s;Yes;No;3;0.70835;0.81479;0.00000;0.17172;2.27992;ParsCat@264;ParsCat@265;YXAgent@266;0.7567717927092927;0.7083543012151912;0.814788923220578;0.7567717927092927;0.7083543012151912;0.814788923220578;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
149.878;38384;;180s;Yes;No;3;0.70558;0.84891;0.00000;0.13251;2.34303;Caduceus@270;Caduceus@271;ParsCat@272;0.7885481576208597;0.7055760777345808;0.8489056772467;0.7885481576208597;0.7055760777345808;0.8489056772467;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
165.412;52029;;180s;Yes;No;3;0.69865;0.85568;0.00000;0.28571;2.26935;YXAgent@276;Caduceus@277;ParsCat@278;0.8556804829608448;0.7150176553198933;0.6986527313839865;0.8556804829608448;0.7150176553198933;0.6986527313839865;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
150.124;41792;;180s;Yes;No;3;0.70558;0.84891;0.00000;0.13251;2.34303;ParsCat@282;Caduceus@283;ParsCat@284;0.7885481576208597;0.7055760777345808;0.8489056772467;0.7885481576208597;0.7055760777345808;0.8489056772467;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;52137;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;Caduceus@288;YXAgent@289;ParsCat@290;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;78541;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;YXAgent@294;YXAgent@295;ParsCat@296;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
167.020;56624;;180s;Yes;No;3;0.63949;0.85347;0.00000;0.38247;2.17545;ParsCat@300;YXAgent@301;ParsCat@302;0.6394867367541297;0.8534673089162091;0.6825003955581045;0.6394867367541297;0.8534673089162091;0.6825003955581045;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
165.350;42890;;180s;Yes;No;3;0.70558;0.84891;0.00000;0.13251;2.34303;Caduceus@306;ParsCat@307;ParsCat@308;0.7885481576208597;0.7055760777345808;0.8489056772467;0.7885481576208597;0.7055760777345808;0.8489056772467;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
165.258;59570;;180s;Yes;No;3;0.69502;0.85701;0.00000;0.12265;2.37235;YXAgent@312;ParsCat@313;ParsCat@314;0.8203245225324266;0.6950202892578486;0.8570063113138096;0.8203245225324266;0.6950202892578486;0.8570063113138096;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
135.498;42729;;180s;Yes;No;3;0.73113;0.76418;0.00000;0.22552;2.24945;ParsCat@318;ParsCat@319;ParsCat@320;0.754142095414166;0.7311298907578463;0.7641780072253322;0.754142095414166;0.7311298907578463;0.7641780072253322;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
150.143;33202;;180s;Yes;No;3;0.70215;0.76510;0.00000;0.28826;2.19013;Caduceus@324;Caduceus@325;Caduceus@326;0.7021515907270905;0.7650951895994117;0.7228812351228098;0.7021515907270905;0.7650951895994117;0.7228812351228098;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;45431;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;YXAgent@330;Caduceus@331;Caduceus@332;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
149.920;36352;;180s;Yes;No;3;0.72057;0.79739;0.00000;0.22622;2.27329;ParsCat@336;Caduceus@337;Caduceus@338;0.7973871477279642;0.7205741022811142;0.7553331072881683;0.7973871477279642;0.7205741022811142;0.7553331072881683;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;45654;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;Caduceus@342;YXAgent@343;Caduceus@344;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
180.000;66563;;180s;No;No;1;0.00000;0.00000;1.14280;1.43014;0.00000;YXAgent@348;YXAgent@349;Caduceus@350;0.0;0.0;0.0;0.0;0.0;0.0;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
168.145;50025;;180s;Yes;No;3;0.60413;0.84085;0.00000;0.29039;2.27845;ParsCat@354;YXAgent@355;Caduceus@356;0.6041307763257115;0.8334699428541645;0.8408539754879274;0.6041307763257115;0.8334699428541645;0.8408539754879274;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
152.345;37351;;180s;Yes;No;3;0.70215;0.76510;0.00000;0.28826;2.19013;Caduceus@360;ParsCat@361;Caduceus@362;0.7021515907270905;0.7650951895994117;0.7228812351228098;0.7021515907270905;0.7650951895994117;0.7228812351228098;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
165.658;51049;;180s;Yes;No;3;0.68002;0.95058;0.00000;0.02851;2.44209;YXAgent@366;ParsCat@367;Caduceus@368;0.8114855324253221;0.6800222647113152;0.9505788812723412;0.8114855324253221;0.6800222647113152;0.9505788812723412;SmartEnergyGrid_util1.xml;SmartEnergyGrid_util2.xml;SmartEnergyGrid_util3.xml
